condition,probe,policy_id,enactment_year,topics,slope,endpoint_delta
talkie_cpt,likert,US-1974-MILLIKEN,1974,civil_rights,0.008209,0.096300
talkie_cpt,likert,US-1974-PRIVACY-ACT,1974,,0.007626,0.095743
talkie_cpt,likert,US-1975-IDEA,1975,,0.002761,-0.039784
talkie_cpt,likert,US-1975-ISDEAA,1975,,0.004739,0.029959
talkie_cpt,likert,US-1975-EPCA,1975,environment,0.003444,-0.005525
talkie_cpt,likert,US-1976-BUCKLEY,1976,,0.009127,0.118226
talkie_cpt,likert,US-1976-GREGG,1976,crim_justice,0.002246,0.044069
talkie_cpt,likert,US-1976-TSCA,1976,,0.001020,0.025796
talkie_cpt,likert,US-1977-CRA,1977,finance_banking,-0.001425,0.000330
talkie_cpt,likert,US-1977-FED-DUAL-MANDATE,1977,labor_wages,0.000539,-0.006262
talkie_cpt,likert,US-1978-AIRLINE-DEREG,1978,environment,-0.001453,-0.043755
talkie_cpt,likert,US-1978-BAKKE,1978,civil_rights,-0.001559,-0.036309
talkie_cpt,likert,US-1978-FISA,1978,natl_security,-0.003926,-0.062439
